h_geocode,w_geocode,job_totals
24510010100,24510010100,36
24510010100,24510010300,5
24510010100,24510010400,22
24510010100,24510010500,3
24510010100,24510020100,1
24510010100,24510020300,57
24510010100,24510030100,2
24510010100,24510030200,39
24510010100,24510040100,146
24510010100,24510040200,23
24510010100,24510060200,2
24510010100,24510060400,61
24510010100,24510070200,1
24510010100,24510070300,1
24510010100,24510070400,60
24510010100,24510090100,1
24510010100,24510090500,2
24510010100,24510100100,3
24510010100,24510100300,1
24510010100,24510110100,8
24510010100,24510110200,24
24510010100,24510120202,29
24510010100,24510120300,1
24510010100,24510120400,1
24510010100,24510120600,5
24510010100,24510120700,3
24510010100,24510130100,1
24510010100,24510130400,1
24510010100,24510130600,5
24510010100,24510130700,7
24510010100,24510130804,4
24510010100,24510130806,3
24510010100,24510140200,1
24510010100,24510150500,4
24510010100,24510150800,2
24510010100,24510151100,1
24510010100,24510160500,1
24510010100,24510170100,4
24510010100,24510170200,7
24510010100,24510180300,2
24510010100,24510200500,2
24510010100,24510200600,2
24510010100,24510210100,3
24510010100,24510210200,6
24510010100,24510220100,26
24510010100,24510230200,6
24510010100,24510230300,8
24510010100,24510240100,27
24510010100,24510240200,4
24510010100,24510240300,2
24510010100,24510240400,6
24510010100,24510250103,7
24510010100,24510250203,4
24510010100,24510250206,6
24510010100,24510250303,1
24510010100,24510250401,1
24510010100,24510250500,8
24510010100,24510250600,2
24510010100,24510260303,1
24510010100,24510260401,1
24510010100,24510260404,5
24510010100,24510260501,24
24510010100,24510260605,34
24510010100,24510260700,2
24510010100,24510260900,10
24510010100,24510261100,2
24510010100,24510270200,2
24510010100,24510270501,5
24510010100,24510270600,1
24510010100,24510270702,2
24510010100,24510270803,1
24510010100,24510271002,2
24510010100,24510271101,2
24510010100,24510271200,3
24510010100,24510271300,1
24510010100,24510271501,7
24510010100,24510271503,4
24510010100,24510271700,12
24510010100,24510271900,3
24510010100,24510272007,1
24510010100,24510280102,2
24510010100,24510280403,1
24510010100,24510280500,1
24510010200,24510010100,15
24510010200,24510010200,29
24510010200,24510010300,4
24510010200,24510010400,22
24510010200,24510010500,1
24510010200,24510020100,2
24510010200,24510020200,1
24510010200,24510020300,64
24510010200,24510030100,3
24510010200,24510030200,22
24510010200,24510040100,140
24510010200,24510040200,28
24510010200,24510060100,1
24510010200,24510060200,8
24510010200,24510060300,2
24510010200,24510060400,76
24510010200,24510070400,66
24510010200,24510080101,2
24510010200,24510080400,1
24510010200,24510080500,1
24510010200,24510090200,1
24510010200,24510090500,6
24510010200,24510100100,2
24510010200,24510100300,1
24510010200,24510110100,1
24510010200,24510110200,42
24510010200,24510120100,1
24510010200,24510120201,1
24510010200,24510120202,26
24510010200,24510120600,6
24510010200,24510120700,6
24510010200,24510130400,1
24510010200,24510130600,8
24510010200,24510130700,12
24510010200,24510130803,1
24510010200,24510130804,1
24510010200,24510130805,1
24510010200,24510130806,5
24510010200,24510140100,3
24510010200,24510150100,1
24510010200,24510150400,4
24510010200,24510150500,3
24510010200,24510150600,1
24510010200,24510150701,1
24510010200,24510151000,1
24510010200,24510160300,1
24510010200,24510160500,1
24510010200,24510170100,1
24510010200,24510170200,12
24510010200,24510170300,1
24510010200,24510180300,1
24510010200,24510200100,1
24510010200,24510200600,2
24510010200,24510200701,1
24510010200,24510200800,1
24510010200,24510210100,2
24510010200,24510210200,8
24510010200,24510220100,30
24510010200,24510230200,7
24510010200,24510230300,3
24510010200,24510240100,19
24510010200,24510240200,4
24510010200,24510240300,4
24510010200,24510240400,13
24510010200,24510250103,13
24510010200,24510250206,3
24510010200,24510250301,2
24510010200,24510250303,1
24510010200,24510250401,1
24510010200,24510250500,1
24510010200,24510250600,3
24510010200,24510260201,1
24510010200,24510260303,2
24510010200,24510260401,1
24510010200,24510260404,11
24510010200,24510260501,20
24510010200,24510260605,38
24510010200,24510260700,3
24510010200,24510260900,19
24510010200,24510261000,1
24510010200,24510261100,5
24510010200,24510270401,2
24510010200,24510270501,1
24510010200,24510270502,1
24510010200,24510270701,1
24510010200,24510270702,2
24510010200,24510270803,3
24510010200,24510270804,1
24510010200,24510270805,1
24510010200,24510270902,3
24510010200,24510271102,4
24510010200,24510271400,1
24510010200,24510271501,7
24510010200,24510271503,3
24510010200,24510271700,13
24510010200,24510271802,2
24510010200,24510272007,1
24510010200,24510280101,3
24510010200,24510280102,4
24510010200,24510280301,1
24510010200,24510280403,3
24510010200,24510280404,1
24510010200,24510280500,11
24510010200,24510280600,2
24510010300,24510010100,14
24510010300,24510010300,8
24510010300,24510010400,28
24510010300,24510020100,1
24510010300,24510020300,64
24510010300,24510030100,2
24510010300,24510030200,30
24510010300,24510040100,105
24510010300,24510040200,28
24510010300,24510060200,3
24510010300,24510060400,51
24510010300,24510070300,1
24510010300,24510070400,45
24510010300,24510080101,4
24510010300,24510080302,1
24510010300,24510090200,1
24510010300,24510090500,1
24510010300,24510100100,2
24510010300,24510100200,1
24510010300,24510110100,1
24510010300,24510110200,30
24510010300,24510120202,24
24510010300,24510120600,6
24510010300,24510120700,4
24510010300,24510130600,4
24510010300,24510130700,4
24510010300,24510130804,8
24510010300,24510130805,2
24510010300,24510130806,5
24510010300,24510150500,3
24510010300,24510150800,1
24510010300,24510151000,1
24510010300,24510151200,1
24510010300,24510151300,2
24510010300,24510160700,1
24510010300,24510170100,4
24510010300,24510170200,3
24510010300,24510190200,1
24510010300,24510200100,1
24510010300,24510200500,3
24510010300,24510210100,7
24510010300,24510210200,7
24510010300,24510220100,24
24510010300,24510230200,3
24510010300,24510230300,1
24510010300,24510240100,11
