tract_id,job_totals
24510010100,1161
24510010200,282
24510010300,134
24510010400,2027
24510010500,99
24510020100,260
24510020200,229
24510020300,7950
24510030100,877
24510030200,8671
24510040100,63393
24510040200,11917
24510060100,87
24510060200,350
24510060300,104
24510060400,14449
24510070100,43
24510070200,132
24510070300,233
24510070400,12662
24510080101,679
24510080102,332
24510080200,530
24510080301,34
24510080302,223
24510080400,186
24510080500,318
24510080600,38
24510080700,64
24510080800,90
24510090100,296
24510090200,454
24510090300,636
24510090400,706
24510090500,1347
24510090600,18
24510090700,32
24510090800,1051
24510090900,132
24510100100,457
24510100200,119
24510100300,2166
24510110100,1434
24510110200,8469
24510120100,579
24510120201,409
24510120202,9681
24510120300,601
24510120400,190
24510120500,906
24510120600,2785
24510120700,4638
24510130100,57
24510130200,84
24510130300,295
24510130400,538
24510130600,2135
24510130700,3441
24510130803,178
24510130804,1788
24510130805,255
24510130806,2059
24510140100,1288
24510140200,319
24510140300,250
24510150100,227
24510150200,70
24510150300,204
24510150400,1084
24510150500,3061
24510150600,378
24510150701,261
24510150702,57
24510150800,415
24510150900,51
24510151000,668
24510151100,385
24510151200,171
24510151300,450
24510160100,30
24510160200,56
24510160300,300
24510160400,65
24510160500,418
24510160600,243
24510160700,176
24510160801,46
24510160802,18
24510170100,2649
24510170200,6495
24510170300,87
24510180300,770
24510190100,166
24510190200,79
24510190300,139
24510200100,1071
24510200200,448
24510200300,61
24510200400,105
24510200500,905
24510200600,792
24510200701,209
24510200702,45
24510200800,529
24510210100,4675
24510210200,4219
24510220100,9359
24510230100,984
24510230200,954
24510230300,1823
24510240100,3547
24510240200,2271
24510240300,287
24510240400,1815
24510250101,230
24510250102,256
24510250103,6520
24510250203,1530
24510250204,97
24510250205,2304
24510250206,3348
24510250207,819
24510250301,393
24510250303,657
24510250401,447
24510250402,32
24510250500,4551
24510250600,3900
24510260101,453
24510260102,209
24510260201,830
24510260202,147
24510260203,292
24510260301,177
24510260302,245
24510260303,1088
24510260401,296
24510260402,524
24510260403,432
24510260404,5957
24510260501,8512
24510260604,60
24510260605,18936
24510260700,697
24510260800,483
24510260900,2297
24510261000,274
24510261100,269
24510270101,34
24510270102,64
24510270200,915
24510270301,481
24510270302,179
24510270401,784
24510270402,417
24510270501,837
24510270502,394
24510270600,462
24510270701,251
24510270702,444
24510270703,225
24510270801,75
24510270802,278
24510270803,2608
24510270804,163
24510270805,569
24510270901,216
24510270902,2640
24510270903,395
24510271001,88
24510271002,264
24510271101,260
24510271102,2051
24510271200,1534
24510271300,1521
24510271400,913
24510271501,3731
24510271503,915
24510271600,441
24510271700,6199
24510271801,215
24510271802,515
24510271900,1078
24510272003,391
24510272004,296
24510272005,182
24510272006,628
24510272007,996
24510280101,4384
24510280102,6024
24510280200,269
24510280301,220
24510280302,20
24510280401,411
24510280402,92
24510280403,708
24510280404,290
24510280500,3187
24510280600,643
