USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24001000100	486755799	7821335	187.937	3.02	39.6365143	-78.5094487                                                                                                                                    
MD	24001000200	124505956	3080200	48.072	1.189	39.6123134	-78.7031037                                                                                                                                    
MD	24001000500	11455399	157507	4.423	0.061	39.6546637	-78.7294891                                                                                                                                       
MD	24001000600	4098568	70648	1.582	0.027	39.6409546	-78.7398353                                                                                                                                         
MD	24001000700	1844978	0	0.712	0.	39.6329587	-78.7526552                                                                                                                                                
MD	24001000800	3271526	408357	1.263	0.158	39.6288831	-78.7630037                                                                                                                                        
MD	24001001000	1178741	2863	0.455	0.001	39.657356	-78.7675027                                                                                                                                           
MD	24001001100	781359	34137	0.302	0.013	39.6510064	-78.7722271                                                                                                                                          
MD	24001001200	6941816	225303	2.68	0.087	39.6560734	-78.787004                                                                                                                                          
MD	24001001300	9984898	304110	3.855	0.117	39.6281555	-78.8084386                                                                                                                                        
MD	24001001401	37999316	6788	14.672	0.003	39.6432593	-78.8338076                                                                                                                                        
MD	24001001402	2977789	0	1.15	0.	39.6519192	-78.8099723                                                                                                                                                 
MD	24001001502	23693795	95979	9.148	0.037	39.7081979	-78.8033273                                                                                                                                        
MD	24001001503	29897897	10162	11.544	0.004	39.7091742	-78.8684222                                                                                                                                       
MD	24001001600	19366810	7772	7.478	0.003	39.6898438	-78.9301097                                                                                                                                         
MD	24001001700	32782296	26908	12.657	0.01	39.6632838	-78.8720813                                                                                                                                        
MD	24001001800	9089058	2338	3.509	0.001	39.6570617	-78.9459687                                                                                                                                          
MD	24001001900	62655491	43248	24.191	0.017	39.608748	-78.9349249                                                                                                                                        
MD	24001002000	69424572	1290848	26.805	0.498	39.564116	-78.8950854                                                                                                                                      
MD	24001002100	62628022	62197	24.181	0.024	39.5551974	-78.9860824                                                                                                                                       
MD	24001002200	60150344	1043712	23.224	0.403	39.4980725	-78.9858124                                                                                                                                     
MD	24001002300	32017625	66918	12.362	0.026	39.6850094	-78.7422979                                                                                                                                       
MD	24003701101	7328681	1191220	2.83	0.46	38.9420308	-76.5686167                                                                                                                                         
MD	24003701103	1683606	920475	0.65	0.355	38.9352164	-76.5439597                                                                                                                                         
MD	24003701104	3329552	684636	1.286	0.264	38.9396531	-76.5514014                                                                                                                                        
MD	24003701201	6371752	3725474	2.46	1.438	38.8823379	-76.5051044                                                                                                                                        
MD	24003701202	8182490	3769626	3.159	1.455	38.9133331	-76.5241197                                                                                                                                       
MD	24003701301	38495538	0	14.863	0.	38.9270086	-76.63404                                                                                                                                                
MD	24003701302	62602046	0	24.171	0.	38.8664553	-76.6450598                                                                                                                                              
MD	24003701400	55165320	7822908	21.299	3.02	38.872325	-76.572429                                                                                                                                        
MD	24003702100	22552043	4706546	8.707	1.817	39.0477861	-76.5998868                                                                                                                                      
MD	24003702204	2527602	0	0.976	0.	38.9957146	-76.6908109                                                                                                                                                
MD	24003702205	4638060	0	1.791	0.	39.0084143	-76.6922957                                                                                                                                                
MD	24003702206	3573906	0	1.38	0.	39.0112905	-76.669753                                                                                                                                                  
MD	24003702208	4207283	0	1.624	0.	39.0316327	-76.6666917                                                                                                                                                
MD	24003702209	2176676	0	0.84	0.	39.0209496	-76.6838414                                                                                                                                                 
MD	24003702300	40678610	993113	15.706	0.383	38.9721265	-76.6535183                                                                                                                                      
