"","ct","FIPS","SPL_THEME1","RPL_THEME1","SPL_THEME2","RPL_THEME2","SPL_THEME3","RPL_THEME3","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_THEME1","F_THEME2","F_THEME3","F_THEME4","SummarySVIcat"
"1","24510100300",24510100300,NA,NA,NA,NA,1.1659,0.6784,NA,NA,NA,NA,NA,NA,0,NA,NA
"2","24510250600",24510250600,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","24510010300",24510010300,0.16187,0.0203,0.23661,0.0203,0.61308,0.2211,0.52316,0.005076,1.53472,0.005076,0,0,0,0,1
"4","24510240400",24510240400,0.54577,0.1015,0.40306,0.04061,0.005025,0.005025,0.90993,0.06091,1.863785,0.01015,0,0,0,0,1
"5","24510261100",24510261100,0.50691,0.09137,0.34331,0.03553,0.03015,0.01005,0.33759,0,1.21796,0,0,0,0,0,1
"6","24510271102",24510271102,0.42503,0.07614,0.166236,0.005076,0.5327,0.1658,0.995,0.09137,2.118966,0.0203,0,0,0,1,1
"7","24510010200",24510010200,0.25805,0.04061,0.52485,0.07614,0.37688,0.07035,0.88522,0.05076,2.045,0.01523,0,0,0,0,1
"8","24510240200",24510240200,0.1268,0.01015,1.00879,0.1421,0.4874,0.1307,1.27171,0.1726,2.8947,0.04061,0,0,0,0,1
"9","24510240100",24510240100,0.22256,0.02538,0.45294,0.05584,0.41705,0.09548,1.47789,0.264,2.57044,0.03553,0,0,0,0,1
"10","24510240300",24510240300,0.12159,0.005076,0.42834,0.05076,0.1156,0.0201,1.7299,0.401,2.39543,0.03046,0,0,0,0,1
"11","24510010100",24510010100,0.14664,0.01523,0.90859,0.1218,0.3719,0.06533,1.46807,0.2589,2.8952,0.04569,0,0,0,1,1
"12","24510130600",24510130600,0.724,0.1421,0.45908,0.06091,0.4673,0.1206,0.6809,0.03046,2.33128,0.02538,0,0,0,0,1
"13","24510230300",24510230300,0.32916,0.05584,0.33893,0.03046,0.62313,0.2312,1.88468,0.4569,3.1759,0.05584,0,0,0,0,1
"14","24510010400",24510010400,0.31445,0.05076,0.69216,0.09137,0.64825,0.2563,1.78905,0.4213,3.44391,0.07614,0,0,0,0,1
"15","24510271300",24510271300,0.040506,0,1.5472,0.2284,0.38698,0.09045,2.201076,0.5939,4.175762,0.1421,0,0,0,0,1
"16","24510230200",24510230200,0.70306,0.1371,0.5203,0.07107,0.86433,0.407,1.2601,0.1624,3.34779,0.06599,0,0,0,0,1
"17","24510020200",24510020200,0.69387,0.1269,0.47825,0.06599,1.0603,0.5628,0.7718,0.03553,3.00422,0.05076,0,0,0,0,1
"18","24510271503",24510271503,0.228361,0.03046,2.01378,0.3959,0.75875,0.3216,0.90986,0.05584,3.910751,0.1218,0,2,0,0,1
"19","24510120201",24510120201,0.69965,0.132,0.72061,0.1015,0.603,0.2161,1.3343,0.2081,3.35756,0.07107,0,0,0,0,1
"20","24510271200",24510271200,0.23309,0.03553,1.64198,0.2741,0.45225,0.1106,1.41771,0.2335,3.74503,0.08629,0,0,0,0,1
"21","24510020300",24510020300,0.3447,0.06091,0.41915,0.04569,0.9548,0.4874,2.0867,0.5381,3.80535,0.1066,0,0,0,1,1
"22","24510010500",24510010500,0.3847,0.06599,0.72012,0.09645,0.9648,0.5126,1.42815,0.2386,3.49777,0.08122,0,0,0,0,1
"23","24510271501",24510271501,0.45113,0.08122,1.69304,0.2944,0.5729,0.191,1.2414,0.1523,3.95847,0.132,0,0,0,0,1
"24","24510260900",24510260900,0.40983,0.07107,0.67075,0.08629,0.43718,0.1005,2.25204,0.6294,3.7698,0.1015,0,0,0,0,1
"25","24510110100",24510110100,0.49146,0.08629,0.1765,0.01015,0.9698,0.5176,2.2913,0.6599,3.92906,0.1269,0,0,0,2,1
"26","24510020100",24510020100,0.63815,0.1066,0.7557,0.1066,0.78388,0.3367,1.1032,0.132,3.28093,0.06091,0,0,0,0,1
"27","24510270703",24510270703,0.6936,0.1218,1.4393,0.203,0.5879,0.201,1.0863,0.1168,3.8071,0.1117,0,0,0,0,1
"28","24510271400",24510271400,0.28397,0.04569,1.6024,0.2589,0.5729,0.191,1.9363,0.4772,4.39557,0.1624,0,0,0,1,1
"29","24510220100",24510220100,0.5169,0.09645,1.34913,0.1777,0.4875,0.1407,1.9538,0.4873,4.30733,0.1523,0,0,0,1,1
"30","24510250206",24510250206,1.4117,0.335,1.6243,0.264,0.1206,0.02513,0.6099,0.01523,3.7665,0.09645,0,0,0,0,1
"31","24510230100",24510230100,0.8513,0.1675,0.87755,0.1117,0.1608,0.03015,1.8714,0.4467,3.76105,0.09137,0,0,0,0,1
