"","ct","GEOID","kde_bike_f","kde_ped_av","kde_crime_","ptile_kde_bike_f","ptile_kde_ped_av","ptile_kde_crime_","safety_ptile","ptile_THEME1","ptile_THEME2","ptile_THEME3","ptile_THEME4","svi_ptile","avgcommute_min","ptile_commute","PT_longer_comm_min","ptile_diffcomm_PToCar","No.of.Stops","ptile_stopcnt","NEAR_DIST","ptile_HFRdist","avg_min_acs","PT_pct","PTover45m_pct","ptile_avg_min_acs","ptile_PT_pct","ptile_PTover45m_pct","OBJECTID","PM25","OZONE","DSLPM","RESP","PTRAF","ptile_PM25","ptile_OZONE","ptile_DSLPM","ptile_RESP","ptile_PTRAF","poll_ptile","asthmavalue","ptile_asthma","COPDvalue","ptile_COPD","lungCAvalue","ptile_lungCA","COVIDvalue","ptile_COVID","CADvalue","ptile_CAD","LBWvalue","ptile_LBW","health_ptile","health_ptile_v2","transit_ptile","composite_TVS_ptile","composite_TV_ptile","composite_TVP_ptile","composite_TVPH_ptile","composite_TVH_ptile","composite_TVH2_ptile","composite_TVPH2_ptile"
"1","24510010100","245100101001",8.12,16.91,4086.46,0.680981595092024,0.607361963190184,0.630368098159509,0.650306748466258,0.01523,0.1218,0.06533,0.2589,0.04569,12.13,0.0456852791878173,54.4,0.21105527638191,10,0.557788944723618,0,0,29,5.02,24.51,0.543859649122807,0.0964467005076142,0.0969387755102041,90065,8.740078904,45.58963137,1.054398091,0.563240029,451.05989,0.967791411042945,0.94478527607362,0.811349693251534,0.909509202453988,0.214723926380368,0.842024539877301,0.087,0.111111111111111,0.041,0.126262626262626,13,0.537688442211055,156.15,0.944162436548223,0.472,0.563451776649746,0.131,0.0964467005076142,0.289340101522843,0.137055837563452,0.0292758089368259,0.086286594761171,0.0061633281972265,0.124807395993837,0.129429892141757,0.0600924499229584,0.0354391371340524,0.0724191063174114
"2","24510010100","245100101002",6.34,13.41,4191.22,0.599693251533742,0.532208588957055,0.647239263803681,0.598159509202454,0.01523,0.1218,0.06533,0.2589,0.04569,12.13,0.0456852791878173,54.4,0.21105527638191,10,0.557788944723618,0,0,29,5.02,24.51,0.543859649122807,0.0964467005076142,0.0969387755102041,90066,8.740078904,45.58963137,1.054398091,0.563240029,534.1044195,0.967791411042945,0.94478527607362,0.811349693251534,0.909509202453988,0.269938650306748,0.857361963190184,0.087,0.111111111111111,0.041,0.126262626262626,13,0.537688442211055,156.15,0.944162436548223,0.472,0.563451776649746,0.131,0.0964467005076142,0.289340101522843,0.137055837563452,0.0292758089368259,0.0770416024653313,0.0061633281972265,0.134052388289676,0.135593220338983,0.0600924499229584,0.0354391371340524,0.0785824345146379
"3","24510010100","245100101003",3.99,4.1,936.03,0.457055214723926,0.200920245398773,0.173312883435583,0.263803680981595,0.01523,0.1218,0.06533,0.2589,0.04569,12.13,0.0456852791878173,54.4,0.21105527638191,10,0.557788944723618,0,0,29,5.02,24.51,0.543859649122807,0.0964467005076142,0.0969387755102041,90067,8.740078904,45.58963137,1.054398091,0.563240029,1071.888804,0.967791411042945,0.94478527607362,0.811349693251534,0.909509202453988,0.526073619631902,0.911042944785276,0.087,0.111111111111111,0.041,0.126262626262626,13,0.537688442211055,156.15,0.944162436548223,0.472,0.563451776649746,0.131,0.0964467005076142,0.289340101522843,0.137055837563452,0.0292758089368259,0.00770416024653313,0.0061633281972265,0.155624036979969,0.160246533127889,0.0600924499229584,0.0354391371340524,0.110939907550077
"4","24510010200","245100102001",19.59,39.2,7492.53,0.926380368098159,0.906441717791411,0.901840490797546,0.949386503067485,0.04061,0.07614,0.07035,0.05076,0.01523,15.84,0.131979695431472,71.04,0.492462311557789,8,0.673366834170854,0,0,28.77,3.09,54.24,0.517543859649123,0.0203045685279188,0.51530612244898,90068,8.735230959,45.54235948,1.147780424,0.593824826,531.066059,0.955521472392638,0.921779141104294,0.99079754601227,0.96319018404908,0.263803680981595,0.897239263803681,0.082,0.0252525252525253,0.031,0.0505050505050505,6,0.155778894472362,123.29,0.852791878172589,0.443,0.522842639593909,0.462,0.289340101522843,0.152284263959391,0.0558375634517767,0.124807395993837,0.248073959938367,0.0539291217257319,0.181818181818182,0.121725731895223,0.0446841294298921,0.0292758089368259,0.0939907550077042
"5","24510010200","245100102002",13.2,26.86,5470.11,0.842024539877301,0.789877300613497,0.774539877300613,0.828220858895706,0.04061,0.07614,0.07035,0.05076,0.01523,15.84,0.131979695431472,71.04,0.492462311557789,8,0.673366834170854,0,0,28.77,3.09,54.24,0.517543859649123,0.0203045685279188,0.51530612244898,90069,8.735230959,45.54235948,1.147780424,0.593824826,927.1895911,0.955521472392638,0.921779141104294,0.99079754601227,0.96319018404908,0.46319018404908,0.941717791411043,0.082,0.0252525252525253,0.031,0.0505050505050505,6,0.155778894472362,123.29,0.852791878172589,0.443,0.522842639593909,0.462,0.289340101522843,0.152284263959391,0.0558375634517767,0.124807395993837,0.183359013867488,0.0539291217257319,0.211093990755008,0.146379044684129,0.0446841294298921,0.0292758089368259,0.12326656394453
"6","24510010200","245100102003",9.37,17.76,4303.16,0.725460122699387,0.636503067484663,0.659509202453988,0.69478527607362,0.04061,0.07614,0.07035,0.05076,0.01523,15.84,0.131979695431472,71.04,0.492462311557789,8,0.673366834170854,0,0,28.77,3.09,54.24,0.517543859649123,0.0203045685279188,0.51530612244898,90070,8.735230959,45.54235948,1.147780424,0.593824826,897.4262786,0.955521472392638,0.921779141104294,0.99079754601227,0.96319018404908,0.457055214723926,0.940184049079755,0.082,0.0252525252525253,0.031,0.0505050505050505,6,0.155778894472362,123.29,0.852791878172589,0.443,0.522842639593909,0.462,0.289340101522843,0.152284263959391,0.0558375634517767,0.124807395993837,0.124807395993837,0.0539291217257319,0.209553158705701,0.143297380585516,0.0446841294298921,0.0292758089368259,0.121725731895223
"7","24510010200","245100102004",14.21,30.03,3468.12,0.855828220858896,0.822085889570552,0.553680981595092,0.765337423312883,0.04061,0.07614,0.07035,0.05076,0.01523,15.84,0.131979695431472,71.04,0.492462311557789,8,0.673366834170854,0,0,28.77,3.09,54.24,0.517543859649123,0.0203045685279188,0.51530612244898,90071,8.735230959,45.54235948,1.147780424,0.593824826,391.4304054,0.955521472392638,0.921779141104294,0.99079754601227,0.96319018404908,0.180981595092025,0.878834355828221,0.082,0.0252525252525253,0.031,0.0505050505050505,6,0.155778894472362,123.29,0.852791878172589,0.443,0.522842639593909,0.462,0.289340101522843,0.152284263959391,0.0558375634517767,0.124807395993837,0.146379044684129,0.0539291217257319,0.167950693374422,0.11402157164869,0.0446841294298921,0.0292758089368259,0.0832049306625578
"8","24510010300","245100103001",6.79,13.21,226.22,0.621165644171779,0.524539877300613,0.044478527607362,0.389570552147239,0.0203,0.0203,0.2211,0.005076,0.005076,12.98,0.050761421319797,50.54,0.170854271356784,6,0.798994974874372,0,0,26.16,2.92,15.38,0.271929824561404,0.0152284263959391,0.0204081632653061,90072,8.733172055,45.51636797,1.138947714,0.575375187,886.8858383,0.949386503067485,0.900306748466258,0.975460122699387,0.924846625766871,0.44478527607362,0.929447852760736,0.082,0.0252525252525253,0.028,0.0252525252525253,1,0.0100502512562814,100.74,0.766497461928934,0.313,0.269035532994924,0.106,0.0761421319796954,0.0304568527918782,0,0.036979969183359,0.012326656394453,0,0.151001540832049,0.0523882896764253,0,0,0.0585516178736518
"9","24510010300","245100103002",9.5,14.99,4444.54,0.733128834355828,0.569018404907976,0.682515337423313,0.684049079754601,0.0203,0.0203,0.2211,0.005076,0.005076,12.98,0.050761421319797,50.54,0.170854271356784,6,0.798994974874372,0,0,26.16,2.92,15.38,0.271929824561404,0.0152284263959391,0.0204081632653061,90073,8.733172055,45.51636797,1.138947714,0.575375187,1260.437528,0.949386503067485,0.900306748466258,0.975460122699387,0.924846625766871,0.584355828220859,0.950920245398773,0.082,0.0252525252525253,0.028,0.0252525252525253,1,0.0100502512562814,100.74,0.766497461928934,0.313,0.269035532994924,0.106,0.0761421319796954,0.0304568527918782,0,0.036979969183359,0.0878274268104777,0,0.158705701078582,0.061633281972265,0,0,0.061633281972265
"10","24510010400","245100104001",4.42,5.45,4217.43,0.487730061349693,0.25920245398773,0.648773006134969,0.467791411042945,0.05076,0.09137,0.2563,0.4213,0.07614,11.27,0.0355329949238579,46.28,0.0904522613065327,15,0.306532663316583,0,0,21.76,3.45,57.58,0.0175438596491228,0.0304568527918782,0.566326530612245,90074,8.740873151,45.55350261,1.022973556,0.544199801,809.656566,0.973926380368098,0.930981595092024,0.771472392638037,0.888036809815951,0.386503067484663,0.865030674846626,0.081,0.0101010101010101,0.032,0.0606060606060606,7,0.206030150753769,132.52,0.898477157360406,0.587,0.725888324873096,0.127,0.0913705583756345,0.16751269035533,0.065989847715736,0.0338983050847458,0.0462249614791988,0.0277349768875193,0.152542372881356,0.101694915254237,0.0385208012326656,0.0231124807395994,0.0708782742681048
