ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
24,MARYLAND,MD,24003,Anne Arundel,24003740400,"Census Tract 7404, Anne Arundel County, Maryland",1.044543748414,6074,842,0,17,0,17,0,17,0,17,1770,628,1397,211,127,57,0,17,0,17,0,24,4374,902,38,67,0,24,0,17,0,24,0,17,6074,842,-999.0,-999.0,-999.0,-999.0,1770.0,628.0,25.6,3.6,2.1,1.0,0.0,0.3,-999.0,-999.0,0.0,-999.0,72.0,11.0,0.6,1.1,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,-999.0,0.9993,0.9337,-999.0,-999.0,0.0108,0.0,-999.0,0.0,-999.0,-999.0,0.6981,0.3293,1.0274,0.5173,0.0,-999.0,0.0,-999.0,0.9978,-999.0,-999.0,-999.0,-999.0,-999,-999,1,1,-999,0,0,-999,0,-999,0,0,0,0,-999,0,-999,1,-999,-999,0,17,-999.0,-999.0,6237
24,MARYLAND,MD,24003,Anne Arundel,24003980000,"Census Tract 9800, Anne Arundel County, Maryland",5.111130630846,6,5,0,12,0,12,0,12,0,12,9700,23096,1,3,2,3,0,12,0,12,0,17,2,6,0,48,0,17,0,12,0,17,0,12,6,5,-999.0,-999.0,-999.0,-999.0,9700.0,23096.0,16.7,49.1,33.3,46.5,0.0,200.0,-999.0,-999.0,0.0,-999.0,33.3,103.0,0.0,800.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,-999.0,0.9957,0.8148,-999.0,-999.0,0.9827,0.0,-999.0,0.0,-999.0,-999.0,0.402,0.0,0.402,0.1693,0.0,-999.0,0.0,-999.0,0.9978,-999.0,-999.0,-999.0,-999.0,-999,-999,1,0,-999,1,0,-999,0,-999,0,0,0,0,-999,0,-999,1,-999,-999,0,12,-999.0,-999.0,9623
24,MARYLAND,MD,24005,Baltimore,24005980000,"Census Tract 9800, Baltimore County, Maryland",4.779977123078,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,203
24,MARYLAND,MD,24005,Baltimore,24005980100,"Census Tract 9801, Baltimore County, Maryland",0.592099386162,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,2
24,MARYLAND,MD,24005,Baltimore,24005980200,"Census Tract 9802, Baltimore County, Maryland",0.811010725918,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,2802
24,MARYLAND,MD,24017,Charles,24017990000,"Census Tract 9900, Charles County, Maryland",0.0,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,0
24,MARYLAND,MD,24035,Queen Anne's,24035990200,"Census Tract 9902, Queen Anne's County, Maryland",0.0,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,0
24,MARYLAND,MD,24043,Washington,24043011000,"Census Tract 110, Washington County, Maryland",1.708877413348,6480,349,0,17,0,17,0,17,0,17,1549,446,1525,218,165,63,12,20,0,17,0,24,4576,405,87,80,0,24,0,17,0,24,0,17,6480,349,-999.0,-999.0,-999.0,-999.0,1549.0,446.0,28.0,3.7,2.5,1.0,0.2,0.3,-999.0,-999.0,0.0,-999.0,70.6,5.0,1.3,1.2,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,-999.0,1.0,0.9568,-999.0,-999.0,0.0137,0.0036,-999.0,0.0,-999.0,-999.0,0.6852,0.5,1.1852,0.6167,0.0,-999.0,0.0,-999.0,0.9978,-999.0,-999.0,-999.0,-999.0,-999,-999,1,1,-999,0,0,-999,0,-999,0,0,0,0,-999,0,-999,1,-999,-999,0,17,-999.0,-999.0,8391
24,MARYLAND,MD,24047,Worcester,24047980000,"Census Tract 9800, Worcester County, Maryland",13.905129937872,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,0
24,MARYLAND,MD,24510,Baltimore City,24510100300,"Census Tract 1003, Baltimore city, Maryland",0.060351217518,3676,443,0,12,0,12,0,12,0,12,10807,3955,1109,190,18,18,0,12,0,12,0,17,3132,468,45,56,0,17,0,12,0,17,0,12,3676,443,-999.0,-999.0,-999.0,-999.0,10807.0,3955.0,39.4,4.9,0.5,0.5,0.0,0.3,-999.0,-999.0,0.0,-999.0,85.2,7.6,1.2,1.5,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,-999.0,0.9928,0.9914,-999.0,-999.0,0.0022,0.0,-999.0,0.0,-999.0,-999.0,0.786,0.4834,1.2694,0.6736,0.0,-999.0,0.0,-999.0,0.9978,-999.0,-999.0,-999.0,-999.0,-999,-999,1,1,-999,0,0,-999,0,-999,0,0,0,0,-999,0,-999,1,-999,-999,0,12,-999.0,-999.0,4148
