ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
24,Maryland,MD,24001,Allegany,24001000100,"Census Tract 1, Allegany County, Maryland",187.937387505498,3667,424,2243,135,1575,172,889,316,40,33,233,80,361,154,240,182,659,100,703,168,530,161,91,53,0,52,111,64,9,19,422,123,40,44,83,68,34,18,24.5,8.2,2.5,2.1,14.8,4.8,13.5,4.7,6.6,4.7,18.0,3.1,19.2,4.0,14.6,4.0,5.8,3.3,0.0,1.5,3.0,1.7,0.4,0.8,18.8,5.6,2.5,2.8,5.3,4.2,0.9,0.5,0.8114,0.1981,0.2956,0.7634,0.6981,2.7666,0.5757,0.6632,0.3004,0.7558,0.5185,0.0,2.2379,0.3473,0.0117,0.0117,0.0117,0.2531,0.9904,0.7058,0.5179,0.7284,3.1956,0.9037,8.2118,0.6059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1226,750,560,17,19,48,48,22,22,0,13,0,13,24,27,0,13,20.6,2.4,0.5,0.5,1.3,1.3,0.6,0.6,0.0,1.0,0.0,1.0,0.7,0.7,0.0,1.0
24,Maryland,MD,24001,Allegany,24001000200,"Census Tract 2, Allegany County, Maryland",48.071998623512,3836,444,1491,189,1128,183,413,224,37,29,306,163,512,241,103,116,698,196,351,109,645,267,16,27,31,59,1208,202,75,68,68,59,13,23,20,24,1305,236,16.3,8.6,3.4,2.5,27.1,13.8,15.8,6.6,4.1,4.5,18.2,4.7,9.2,2.6,25.4,8.6,1.4,2.4,0.8,1.6,31.5,3.8,5.0,4.5,4.6,4.0,1.2,2.0,1.8,2.2,34.0,4.7,0.6193,0.3336,0.4335,0.8244,0.458,2.6688,0.5488,0.6728,0.0336,0.9718,0.096,0.3992,2.1734,0.3074,0.3669,0.3669,0.3669,0.454,0.9175,0.5288,0.24,0.9856,3.1259,0.8851,8.335,0.6272,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,3,5600,531,459,877,159,125,41,72,56,0,13,0,13,134,102,0,13,21.0,2.9,22.9,3.3,3.3,0.9,1.9,1.4,0.0,1.0,0.0,1.0,3.5,2.5,0.0,1.0
24,Maryland,MD,24001,Allegany,24001000500,"Census Tract 5, Allegany County, Maryland",4.422952464698,2313,352,966,125,695,111,820,331,73,43,236,90,141,90,254,148,458,143,300,139,662,194,42,37,0,52,781,182,108,59,13,20,10,22,88,40,910,257,50.4,17.9,9.5,6.1,34.0,11.8,11.3,6.0,11.5,6.2,19.8,5.9,13.0,5.7,29.9,7.4,6.0,5.2,0.0,2.4,33.8,6.0,11.2,5.9,1.3,2.1,1.4,3.2,12.7,5.7,39.3,9.4,0.976,0.8741,0.3038,0.6866,0.8748,3.7153,0.8514,0.7517,0.0789,0.9876,0.5364,0.0,2.3546,0.403,0.3937,0.3937,0.3937,0.5905,0.815,0.5713,0.7627,0.9897,3.7292,0.9842,10.1928,0.868,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,3,6092,281,378,662,171,46,28,22,26,2,4,0,13,49,49,0,13,20.0,3.6,28.6,6.7,2.0,1.2,1.0,1.1,0.1,0.2,0.0,1.6,2.1,2.1,0.0,1.6
24,Maryland,MD,24001,Allegany,24001000600,"Census Tract 6, Allegany County, Maryland",1.582465301936,2900,352,1457,155,1252,159,726,204,58,43,301,114,156,96,27,32,585,97,747,178,524,119,232,124,0,52,330,151,134,89,0,13,0,18,99,53,61,20,25.5,6.4,5.3,3.9,24.0,8.6,8.0,4.8,0.9,1.1,20.2,4.0,25.8,5.3,18.2,4.1,18.5,9.6,0.0,1.9,11.4,5.0,9.2,6.0,0.0,2.5,0.0,1.4,7.9,4.0,2.1,0.6,0.8278,0.5887,0.4252,0.5089,0.0605,2.4111,0.4759,0.7682,0.7634,0.8865,0.963,0.0,3.3811,0.9305,0.1104,0.1104,0.1104,0.5528,0.0,0.0,0.6224,0.8272,2.0024,0.4491,7.905,0.5523,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3112,496,502,70,40,5,9,9,15,41,44,0,13,202,138,3,10,17.5,2.2,2.4,1.5,0.2,0.3,0.3,0.5,1.4,1.5,0.0,1.3,7.0,5.1,0.1,0.3
24,Maryland,MD,24001,Allegany,24001000700,"Census Tract 7, Allegany County, Maryland",0.712349695756,3292,426,1741,171,1443,152,1510,368,101,79,591,158,251,114,387,165,585,95,883,174,892,234,266,99,0,52,383,182,225,91,0,13,0,18,362,108,7,3,46.1,9.5,7.2,5.6,41.0,10.1,11.9,5.3,11.8,5.0,17.8,3.3,26.8,4.0,27.1,6.5,18.4,6.6,0.0,1.7,11.6,5.3,12.9,5.1,0.0,2.1,0.0,1.2,25.1,6.3,0.2,0.1,0.9678,0.7724,0.8141,0.7126,0.881,4.1479,0.947,0.6578,0.8182,0.9794,0.9623,0.0,3.4177,0.9409,0.1145,0.1145,0.1145,0.6221,0.0,0.0,0.8961,0.4774,1.9956,0.4443,9.6757,0.8006,1,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,2693,519,606,212,152,66,57,0,13,0,13,0,13,97,80,8,13,15.8,2.1,6.4,4.5,2.0,1.7,0.0,1.1,0.0,1.1,0.0,1.1,2.9,2.5,0.2,0.4
24,Maryland,MD,24001,Allegany,24001000800,"Census Tract 8, Allegany County, Maryland",1.263142731652,1991,310,1027,96,760,112,998,278,98,59,363,106,170,63,230,108,268,52,511,164,431,115,86,42,0,52,199,118,14,12,0,13,0,18,86,44,0,13,50.3,11.6,10.3,6.3,47.8,12.0,13.0,4.7,11.6,5.3,13.5,3.2,25.7,7.2,21.6,6.4,11.3,5.3,0.0,2.8,10.0,5.7,1.4,1.2,0.0,3.6,0.0,2.4,11.3,5.6,0.0,0.7,0.9753,0.8982,0.5281,0.751,0.8776,4.0302,0.9237,0.406,0.7586,0.9436,0.8244,0.0,2.9326,0.7779,0.0926,0.0926,0.0926,0.3457,0.0,0.0,0.727,0.0,1.0727,0.141,8.1281,0.597,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1910,319,438,53,71,93,84,12,14,0,13,0,13,41,36,0,13,16.0,2.5,2.7,3.6,4.7,4.2,0.6,0.7,0.0,1.9,0.0,1.9,2.1,1.8,0.0,1.9
24,Maryland,MD,24001,Allegany,24001001000,"Census Tract 10, Allegany County, Maryland",0.455114257582,2245,388,1285,106,1007,124,833,258,112,59,307,93,135,67,131,112,571,142,472,189,555,175,108,49,15,55,137,71,219,93,15,24,0,18,194,77,80,84,38.2,9.7,12.9,6.2,30.5,8.4,8.6,4.5,6.0,5.2,25.4,6.9,21.0,7.6,25.5,7.1,10.7,4.7,0.7,2.5,6.1,3.0,17.0,7.1,1.2,1.9,0.0,1.8,19.3,7.3,3.6,3.7,0.939,0.9491,0.4342,0.5446,0.6486,3.5155,0.7957,0.9177,0.4177,0.9725,0.7963,0.3663,3.4705,0.9512,0.037,0.037,0.037,0.6866,0.8061,0.0,0.8549,0.8923,3.2399,0.9154,10.2629,0.8769,1,1,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,4,4502,460,553,63,43,34,44,19,24,0,13,0,13,21,19,0,13,21.2,3.8,2.8,2.1,1.5,2.0,0.8,1.1,0.0,1.7,0.0,1.7,0.9,0.8,0.0,1.7
24,Maryland,MD,24001,Allegany,24001001100,"Census Tract 11, Allegany County, Maryland",0.301684272618,1174,185,855,85,623,113,327,95,35,26,216,78,33,21,40,48,285,83,171,43,286,79,25,22,0,52,67,44,127,51,0,13,7,16,158,53,24,17,27.9,6.8,6.7,4.8,34.7,10.8,3.8,2.3,3.4,4.0,24.3,6.3,14.6,2.8,24.4,6.0,4.0,3.5,0.0,4.5,5.7,3.6,14.9,5.8,0.0,4.3,1.1,2.6,25.4,6.9,2.0,1.4,0.8525,0.7325,0.2524,0.2085,0.368,2.4139,0.4766,0.8999,0.1159,0.9663,0.3532,0.0,2.3353,0.392,0.0316,0.0316,0.0316,0.6598,0.0,0.5075,0.8975,0.8182,2.883,0.8143,7.6638,0.5241,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2507,162,256,47,35,0,13,4,6,0,13,0,13,16,16,0,13,14.1,2.3,4.0,3.0,0.0,3.1,0.3,0.5,0.0,3.1,0.0,3.1,1.4,1.3,0.0,3.1
24,Maryland,MD,24001,Allegany,24001001200,"Census Tract 12, Allegany County, Maryland",2.680249041232,3078,451,1417,159,1257,161,307,151,49,36,141,59,84,60,80,56,730,125,523,160,399,124,23,26,0,52,200,109,8,17,0,13,38,59,55,47,95,67,10.3,4.8,3.0,2.2,11.2,4.5,3.9,2.8,2.7,1.8,23.7,4.8,17.0,4.6,13.4,4.6,1.8,2.1,0.0,1.7,6.5,3.4,0.6,1.2,0.0,2.6,3.0,4.7,4.4,3.7,3.1,2.1,0.4143,0.282,0.1029,0.2174,0.2861,1.3027,0.1664,0.8848,0.1914,0.6788,0.1276,0.0,1.8826,0.1616,0.0412,0.0412,0.0412,0.2702,0.0,0.7428,0.4801,0.8759,2.369,0.6052,5.5955,0.2153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4132,109,624,9,12,58,52,33,33,2,6,2,5,96,89,0,13,3.7,0.6,0.3,0.4,1.9,1.7,1.1,1.1,0.1,0.2,0.1,0.2,3.1,2.8,0.0,1.2
24,Maryland,MD,24001,Allegany,24001001300,"Census Tract 13, Allegany County, Maryland",3.855189087596,5531,308,1043,126,959,135,380,140,80,50,217,80,965,170,39,31,531,123,298,74,418,144,78,48,47,81,2966,220,116,60,15,17,0,25,52,32,3478,240,18.5,6.4,6.9,4.2,22.6,7.7,20.0,3.2,1.9,1.5,9.6,2.1,5.4,1.3,20.4,6.2,8.1,4.9,0.9,1.5,53.6,2.6,11.1,5.6,1.4,1.7,0.0,2.6,5.4,3.3,62.9,2.6,0.6886,0.7497,0.2538,0.9019,0.1781,2.7721,0.5777,0.177,0.0144,0.9257,0.677,0.4273,2.2214,0.337,0.5713,0.5713,0.5713,0.5878,0.8239,0.0,0.5248,0.9938,2.9303,0.8308,8.4951,0.6465,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,3,5809,228,338,2621,191,185,76,13,13,34,26,0,18,113,66,0,18,11.1,1.4,47.4,3.5,3.3,1.3,0.2,0.2,0.6,0.5,0.0,0.7,2.0,1.2,0.0,0.7
24,Maryland,MD,24001,Allegany,24001001401,"Census Tract 14.01, Allegany County, Maryland",14.671611906232,3642,447,1655,132,1505,134,331,153,48,40,178,74,67,39,91,59,920,108,570,200,479,121,0,18,12,52,341,150,0,18,92,48,8,17,52,31,9,7,9.1,4.0,2.6,2.2,11.8,4.8,2.3,1.3,2.5,1.6,25.3,3.8,15.7,5.1,13.2,3.3,0.0,1.2,0.3,1.5,9.4,4.0,0.0,1.1,5.6,2.9,0.5,1.1,3.5,2.0,0.2,0.2,0.3594,0.2146,0.1653,0.1022,0.2593,1.1008,0.1149,0.917,0.1468,0.6637,0.0,0.2263,1.9538,0.1898,0.0823,0.0823,0.0823,0.0,0.9319,0.3532,0.4065,0.4774,2.169,0.5124,5.3059,0.1829,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,5409,328,625,42,48,100,68,66,74,8,12,0,13,125,99,0,13,9.0,1.1,1.2,1.3,2.7,1.8,1.8,2.1,0.2,0.3,0.0,1.0,3.4,2.7,0.0,1.0
