shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
RED,39.3151177,-76.7648777,1,0.0
RED,39.3148482,-76.7641857,2,0.041482197788335395
RED,39.3145039,-76.7627749,3,0.12072726966785818
RED,39.3130764,-76.7556404,4,0.5155338593064994
RED,39.3129169,-76.7547997,5,0.5619104955270741
RED,39.3127906,-76.7538732,6,0.6123196759622126
RED,39.3127177,-76.7530206,7,0.6582859181628654
RED,39.3127154,-76.7520071,8,0.7125990171470551
RED,39.3127281,-76.7501438,9,0.8124560012252616
RED,39.3125898,-76.7484371,10,0.9044133916945201
RED,39.3125405,-76.7479113,11,0.9327952703761081
RED,39.3124993,-76.747627,12,0.9482936234446772
RED,39.3124,-76.747332,13,0.9655229172695906
RED,39.3122204,-76.7469314,14,0.9903096877915549
RED,39.3119536,-76.7466381,15,1.0145131861482457
RED,39.3115069,-76.7462479,16,1.0517540308684872
RED,39.3111559,-76.7460071,17,1.0791919983555058
RED,39.3108832,-76.7456577,18,1.105734697021784
RED,39.3102115,-76.743657,19,1.2225389005097032
RED,39.3099633,-76.7432936,20,1.2484705435639674
RED,39.3096653,-76.7430052,21,1.274190198839262
RED,39.3087788,-76.7423211,22,1.3454933495514196
RED,39.3081967,-76.7417384,23,1.3963633334188241
RED,39.3075467,-76.7405613,24,1.4737605101351579
RED,39.3070581,-76.7392003,25,1.5541127107494201
RED,39.3067584,-76.7377593,26,1.6340610012398036
RED,39.3066081,-76.736211,27,1.7176858876044945
RED,39.306517,-76.7347438,28,1.7965698973676378
RED,39.3063426,-76.7334725,29,1.8657582718928956
RED,39.30586,-76.73115,30,1.9946067924420194
RED,39.3052288,-76.7285551,31,2.140337519523941
RED,39.3042404,-76.7223232,32,2.4812281411708863
RED,39.3032879,-76.7190209,33,2.6700227033831814
RED,39.3022917,-76.7160378,34,2.844051870842269
RED,39.3017937,-76.7152011,35,2.9005437116874253
RED,39.3008969,-76.7141068,36,2.985793444932879
RED,39.3003826,-76.7133024,37,3.0416293893965176
RED,39.2994,-76.71171,38,3.150623263786041
RED,39.29844,-76.70991,39,3.26764567284462
RED,39.29585,-76.70647,40,3.52440001883472
RED,39.2931287,-76.7026907,41,3.800592572507336
RED,39.2928828,-76.7022253,42,3.8307610654635353
RED,39.2926866,-76.7016715,43,3.8633872267912417
RED,39.2926088,-76.7011762,44,3.890474675218186
RED,39.2925974,-76.7006246,45,3.920053511688602
RED,39.29316,-76.697,46,4.1181869419213815
RED,39.2932608,-76.6962001,47,4.1616252083453125
RED,39.2933117,-76.6954003,48,4.204641423363425
RED,39.29438,-76.6656,49,5.803749913469533
RED,39.294451,-76.6635494,50,5.91377805088908
RED,39.2944141,-76.6633549,51,5.924510164692416
RED,39.2943237,-76.6631913,52,5.935270997374538
RED,39.2932872,-76.6624674,53,6.016624879266431
RED,39.2932115,-76.6623678,54,6.024093211842546
RED,39.2931857,-76.6622039,55,6.033057421823594
RED,39.29339,-76.65687,56,6.3193241573533365
RED,39.29344,-76.65465,57,6.438375305515592
RED,39.29325,-76.65337,58,6.50822937803245
