trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,05:00:00,05:00:00,0,1
1,05:01:57,05:01:57,1,2
1,05:05:33,05:05:33,2,3
1,05:07:56,05:07:56,17,4
1,05:12:53,05:12:53,3,5
1,05:19:10,05:19:10,4,6
1,05:21:40,05:21:40,5,7
1,05:23:34,05:23:34,6,8
1,05:25:51,05:25:51,7,9
1,05:28:08,05:28:08,8,10
1,05:29:42,05:29:42,9,11
1,05:31:30,05:31:30,10,12
1,05:34:22,05:34:22,11,13
1,05:36:58,05:36:58,12,14
1,05:39:46,05:39:46,18,15
1,05:41:52,05:41:52,13,16
1,05:44:28,05:44:28,14,17
1,05:48:31,05:48:31,16,18
1,05:50:15,05:50:15,15,19
2,05:08:00,05:08:00,0,1
2,05:09:57,05:09:57,1,2
2,05:13:33,05:13:33,2,3
2,05:15:56,05:15:56,17,4
2,05:20:53,05:20:53,3,5
2,05:27:10,05:27:10,4,6
2,05:29:40,05:29:40,5,7
2,05:31:34,05:31:34,6,8
2,05:33:51,05:33:51,7,9
2,05:36:08,05:36:08,8,10
2,05:37:42,05:37:42,9,11
2,05:39:30,05:39:30,10,12
2,05:42:22,05:42:22,11,13
2,05:44:58,05:44:58,12,14
2,05:47:46,05:47:46,18,15
2,05:49:52,05:49:52,13,16
2,05:52:28,05:52:28,14,17
2,05:56:31,05:56:31,16,18
2,05:58:15,05:58:15,15,19
3,05:16:00,05:16:00,0,1
3,05:17:57,05:17:57,1,2
3,05:21:33,05:21:33,2,3
3,05:23:56,05:23:56,17,4
3,05:28:53,05:28:53,3,5
3,05:35:10,05:35:10,4,6
3,05:37:40,05:37:40,5,7
3,05:39:34,05:39:34,6,8
3,05:41:51,05:41:51,7,9
3,05:44:08,05:44:08,8,10
3,05:45:42,05:45:42,9,11
3,05:47:30,05:47:30,10,12
3,05:50:22,05:50:22,11,13
3,05:52:58,05:52:58,12,14
3,05:55:46,05:55:46,18,15
3,05:57:52,05:57:52,13,16
3,06:00:28,06:00:28,14,17
3,06:04:31,06:04:31,16,18
